instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,1.0,0.0,1,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.805833,0.160446,985
2,1.0,0.0,1,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.696087,0.2485389999999999,801
3,1.0,0.0,1,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.4372729999999999,0.248309,1349
4,1.0,0.0,1,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.590435,0.160296,1562
5,1.0,0.0,1,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.436957,0.1869,1600
6,1.0,0.0,1,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.518261,0.0895652,1606
7,1.0,0.0,1,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.498696,0.168726,1510
8,1.0,0.0,1,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.535833,0.266804,959
9,1.0,0.0,1,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.434167,0.36195,822
10,1.0,0.0,1,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.482917,0.223267,1321
11,1.0,0.0,1,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.6863640000000001,0.1221319999999999,1263
12,1.0,0.0,1,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.599545,0.304627,1162
13,1.0,0.0,1,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.470417,0.301,1406
14,1.0,0.0,1,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.537826,0.126548,1421
15,1.0,0.0,1,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.49875,0.157963,1248
16,1.0,0.0,1,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.48375,0.188433,1204
17,1.0,0.0,1,1.0,1.0,0.0,2,0.37541650000000004,0.38634999999999997,0.5375,0.194017,1000
18,1.0,0.0,1,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.861667,0.146775,683
19,1.0,0.0,1,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.741739,0.208317,1650
20,1.0,0.0,1,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.538333,0.195904,1927
21,1.0,0.0,1,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.457083,0.353242,1543
22,1.0,0.0,1,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.4,0.17197,981
23,1.0,0.0,1,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.436522,0.2466,986
24,1.0,0.0,1,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.491739,0.15833,1416
25,1.0,0.0,1,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.616957,0.129796,1985
26,1.0,0.0,1,0.0,3.0,1.0,3,0.37541650000000004,0.38634999999999997,0.8625,0.29385,506
27,1.0,0.0,1,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.6875,0.113837,431
28,1.0,0.0,1,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.793043,0.1233,1167
29,1.0,0.0,1,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.6517390000000001,0.145365,1098
30,1.0,0.0,1,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.722174,0.0739826,1096
31,1.0,0.0,1,0.0,1.0,1.0,2,0.37541650000000004,0.38634999999999997,0.60375,0.187192,1501
32,1.0,0.0,2,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.829565,0.0532129999999999,1360
33,1.0,0.0,2,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.775417,0.264308,1526
34,1.0,0.0,2,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.437826,0.277752,1550
